fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,100784,SUNDARAM BANKING AND PSU DEBT FUND REGULAR GROWTH,26.811790909090913,10.640590622644627
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100789,Sundaram Corporate Bond Fund Regular - Growth,23.933411363636367,10.04568326737087
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Overnight Fund,100814,UTI - Overnight  Fund - Regular Plan - Growth Option,1290.8333156862745,1678566.1263191737
Kotak Mahindra Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100835,Kotak Liquid Regular Plan Growth,3430.85313220339,150058.77342238458
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100837,Nippon India Liquid Fund - Retail Option - Growth Plan,3839.543586666667,146642.0805868962
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100851,Nippon India Liquid Fund -Growth Plan,4124.607120000001,218839.7092045906
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100856,Nippon India Prime Debt Fund - Growth Plan - Growth Option,35.57570227272728,19.31600963931302
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100859,Nippon India Prime Debt Fund - Growth Plan - Bonus Option,25.40792272727273,9.852809279938016
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100868,HDFC Liquid Fund-GROWTH,3007.8627389830503,1291787.31513582
Principal Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100898,Principal Cash Management Fund -Growth Option,1587.7294086206898,16308.557766553202
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101001,SBI MAGNUM GILT FUND - REGULAR PLAN - GROWTH,37.82622045454546,31.84005081526343
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund with 10 year constant duration,101002,SBI MAGNUM CONSTANT MATURITY FUND - REGULAR PLAN - GROWTH,36.70656818181818,35.77119469126033
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101042,Tata Gilt Securities Fund -Regular Plan- Growth,49.30441136363636,36.11516025646177
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Floater Fund,101048,Franklin India Floating Rate Fund - Growth Plan,25.369547169811316,6.888704282491989
HDFC Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101083,HDFC Gilt Fund - Growth Plan,34.49083636363637,18.602323633677685
LIC Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,101185,LIC MF Liquid Fund-Regular Plan-Growth,3057.5379457627114,118144.806192373
Baroda Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,101187,BARODA GILT FUND - Plan A - Growth Option,26.455265909090905,10.034224097701447
