fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Sundaram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,119635,Sundaram Debt Oriented Hybrid Fund Direct Plan - Growth Option,18.23718181818182,3.729698733305786
Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,119648,Aditya Birla Sun Life Index Fund - Growth - Direct Plan,94.85520454545454,199.31231687588843
SBI Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Children’s Fund,119719,SBI Magnum Children's Benefit Fund - Savings Plan - DIRECT PLAN - GROWTH,50.54820909090909,80.36857079719007
Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme - Arbitrage Fund,119771,Kotak Equity Arbitrage Fund - Growth - Direct,24.969788636363635,7.412759398279959
Kotak Mahindra Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,119777,Kotak Asset Allocator Fund Direct Growth - Direct,74.07172727272727,123.3591895165289
Kotak Mahindra Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,119779,Kotak Global Emerging Market Fund - Growth - Direct,15.452295454545458,3.979922662706612
Kotak Mahindra Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,119781,Kotak Gold Fund Growth - Direct,13.989181818181821,8.19777138603306
SBI Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,119788,SBI GOLD FUND- DIRECT PLAN - GROWTH,10.594075000000002,4.593721775056818
L&T Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,119802,L&T Equity Savings Fund - Direct Plan-Growth,16.724818181818186,2.4928811942148767
SBI Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,119827,SBI NIFTY INDEX FUND - DIRECT PLAN - GROWTH,83.94288863636365,175.2161040187345
SBI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,119839,SBI DEBT HYBRID FUND - DIRECT PLAN - GROWTH,37.784997727272724,20.551449522040294
SBI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Multi Asset Allocation,119843,SBI MULTI ASSET ALLOCATION FUND - DIRECT PLAN - GROWTH,25.65230681818182,11.427476712908058
L&T Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,119852,L&T Conservative Hybrid Fund -Direct Plan- Growth,33.117563636363634,13.60819462958678
Tata Mutual Fund,Open Ended Schemes,Hybrid Scheme - Equity Savings,119960,Tata Equity Savings Fund- Direct Plan- Growth,31.554661363636363,9.560544194643597
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,120035,HSBC Brazil Fund - Growth Direct,7.252284210526315,2.470700625540166
HSBC Mutual Fund,Open Ended Schemes,Other Scheme - FoF Overseas,120043,HSBC Global Emerging Market Fund - Growth Direct,13.30569069767442,4.42962542828556
HSBC Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120073,HSBC Regular Savings Fund-Growth Direct,34.80328636363636,14.634896562541321
BNP Paribas Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120082,BNP Paribas Conservative Hybrid Fund - Direct Plan - Growth Option,27.937849999999994,16.05443229659091
Kotak Mahindra Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,120154,Kotak Debt Hybrid - Growth - Direct,29.73612045454545,17.551928149808887
ICICI Prudential Mutual Fund,Open Ended Schemes,Other Scheme - FoF Domestic,120242,ICICI Prudential Passive Strategy Fund (FOF) - Direct Plan - Growth,57.56999318181818,64.29638026063532
