fund_house,scheme_type,scheme_category,scheme_code,scheme_name,cag,risk
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100376,Nippon India Growth Fund-Growth Plan-Bonus Option,160.83255,631.2530318
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100377,Nippon India Growth Fund-Growth Plan-Growth Option,966.4160795,22707.21242
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,81.49622727,110.4387919
Nippon India Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option,483.8946159,3892.586207
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100387,Nippon India Income Fund - Growth Plan Growth Option,54.91595682,52.65595332
Nippon India Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100388,Nippon India Income Fund - Growth Plan Bonus Option,15.79528182,4.313116735
Tata Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100414,Tata Hybrid Equity Fund Regular Plan - Growth,190.0399682,361.7102816
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100415,Tata Ethical Fund Regular Plan  - Growth,143.680825,235.702012
Tata Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100418,Tata Income Fund -Regular Plan  - Growth,51.44192045,33.24129055
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100471,Franklin India Bluechip Fund-Growth,405.6392364,2282.880175
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100473,Franklin India Prima Fund-Growth,824.8177795,17008.97138
Tata Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100475,Tata Large Cap Fund Regular Plan - Growth,188.2288659,593.1442815
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100476,Taurus Starshare (Multi Cap)Fund - Regular Plan - Growth Option,99.89477273,129.4102386
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - Mid Cap Fund,100477,Taurus Discovery (Midcap) Fund - Regular Plan - Growth Option,37.75090909,40.4092219
Taurus Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100480,Taurus Tax Shield- Regular Plan - Growth Option,66.015,120.6654568
Franklin Templeton Mutual Fund,Open Ended Schemes,Other Scheme - Index Funds,100484,Franklin India Index Fund- Nifty Plan - Growth,76.31177273,124.0838169
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100493,Franklin India Government Securities Fund - Growth,38.79795455,18.07831913
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Value Fund,100496,Templeton India Value Fund - Growth Plan,220.0888955,1225.574302
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Dynamic Bond,100499,Franklin India Dynamic Accrual Fund-Growth,58.64459545,51.81371533
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100520,Franklin India Equity Fund - Growth,513.1733227,4275.264901
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100522,Franklin India Technology Fund-Growth,135.86475,651.4682487
Franklin Templeton Mutual Fund,Open Ended Schemes,Equity Scheme - ELSS,100526,Franklin India Taxshield-Growth,488.5253659,3932.324298
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,100528,Franklin India Corporate Debt Fund - Growth,59.65688182,62.14695295
Franklin Templeton Mutual Fund,Open Ended Schemes,Solution Oriented Scheme - Retirement Fund,100536,Franklin India Pension Plan-Growth,115.0737568,150.0623091
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100538,Franklin India Liquid Fund - Regular Plan - Growth,4005.783446,174651.9013
Franklin Templeton Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,2533.394878,85521.11607
Franklin Templeton Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100550,Franklin India Equity Hybrid Fund - Growth Plan,105.6275568,144.1381757
Canara Robeco Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,100597,Canara Robeco Gilt Fund - Regular Plan - Growth,46.89898182,41.52070705
Canara Robeco Mutual Fund,Open Ended Schemes,Hybrid Scheme - Conservative Hybrid Fund,100601,Canara Robeco Conservative Hybrid Fund - Regular Plan - Growth,51.88146591,32.88999346
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100603,Sundaram Medium Term Bond Fund - Regular Growth,47.44150455,28.23985827
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Medium Duration Fund,100608,Sundaram Medium Term Bond Fund -Institutional Plan(Growth),53.62051818,36.11040978
Sundaram Mutual Fund,Open Ended Schemes,Hybrid Scheme - Balanced Hybrid Fund,100617,Sundaram Equity Hybrid Fund Regular Growth,77.56610227,124.2356549
quant Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100631,Quant Active Fund-GROWTH OPTION,156.3927636,731.5255813
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100639,SBI Magnum Income Fund-REGULAR PLAN-Growth,41.49335227,31.8314056
SBI Mutual Fund,Open Ended Schemes,Debt Scheme - Ultra Short Duration Fund,100641,SBI MAGNUM ULTRA SHORT DURATION FUND - REGULAR PLAN - GROWTH,3689.260128,190351.6073
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large Cap Fund,100651,UTI - Master Share-Growth Option,104.7647795,202.6906775
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,100664,UTI - Core Equity Fund - Regular Plan - Growth Option,54.97937955,48.06297103
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Multi Cap Fund,100669,UTI - Equity Fund-Growth Option,120.8506705,333.7604978
UTI Mutual Fund,Open Ended Schemes,Hybrid Scheme - Aggressive Hybrid Fund,100684,UTI - Hybrid Equity Fund - Regular Plan - Growth,149.0966114,343.5078354
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Money Market Fund,100723,UTI MMF-Discontinued - Regular Plan -Growth,4475.544403,240508.7416
UTI Mutual Fund,Open Ended Schemes,Equity Scheme - Sectoral/ Thematic,100740,UTI - MNC Fund - Regular Plan - Growth Option,173.0722614,472.3183252
UTI Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,100741,UTI Bond Fund- Regular Plan - Growth,48.37612045,14.39853516
Sundaram Mutual Fund,Open Ended Schemes,Debt Scheme - Banking and PSU Fund,100781,SUNDARAM BANKING AND PSU DEBT FUND Retail - Growth,24.26281136,7.999375531
